config,oos_start,oos_end,n_realloc,cagr,vol,sharpe,maxdd,calmar,sortino,w_eq_mean,w_bd_mean,w_mmf_mean,wig_oos_cagr,tbsp_oos_cagr,wig_mc_verdict,tbsp_mc_verdict,wig_bb_verdict,wig_bb_failures,tbsp_bb_verdict,tbsp_bb_failures
6+1,2011-01-04,2026-03-20,54,0.06255115474928075,0.06866409788452864,0.9109732258402646,-0.11191093982829736,0.558936908627983,0.8962681834675352,0.3066666666666667,0.5533333333333333,0.14,0.11153997298569496,0.04438089089881325,FRAGILE,ROBUST,,,,
6+2,2011-01-04,2026-03-20,57,0.054467380109444186,0.05771569588491398,0.9437186760782199,-0.11191093982829792,0.48670291030539187,0.9271554000004625,0.19999999999999998,0.6714285714285715,0.12857142857142856,0.10240599944256101,0.04450292400909195,ROBUST,ROBUST,,,,
7+1,2011-01-04,2026-03-20,45,0.061431613678983865,0.07032034835611603,0.8735965494351952,-0.11191093982829747,0.548933051346339,0.8635446148112434,0.3,0.6133333333333333,0.08666666666666667,0.11144349543976206,0.04406702108062022,FRAGILE,ROBUST,,,,
7+2,2011-01-04,2026-03-20,44,0.06885486833781074,0.07692793682499917,0.895056739847923,-0.11191093982829736,0.6152648565319292,0.885216580669178,0.31428571428571433,0.6571428571428573,0.028571428571428574,0.1099771615725702,0.04293280161574642,FRAGILE,ROBUST,,,,
8+1,2011-01-04,2026-03-20,42,0.048508867565632,0.08222839678320622,0.5899284123649499,-0.26446094048185287,0.1834254520809308,0.5543516574672278,0.35333333333333333,0.6333333333333334,0.013333333333333334,0.10513592700695895,0.04221026274358719,ROBUST,ROBUST,,,,
8+2,2011-01-04,2026-03-20,53,0.049291544039679724,0.08759785674477903,0.5627026261988719,-0.2833285248828733,0.17397310793206092,0.5315368960155582,0.37142857142857144,0.5571428571428572,0.07142857142857142,0.10896615225426465,0.04238969321350372,ROBUST,ROBUST,,,,
9+1,2011-01-04,2026-03-20,44,0.050251417897821726,0.0934883332076844,0.5375153901416572,-0.2581370030100212,0.19466956426960186,0.5096353713315176,0.5466666666666667,0.3133333333333333,0.14,0.09220815099829371,0.04459748289904364,ROBUST,ROBUST,,,,
9+2,2011-01-04,2026-03-20,40,0.055524943529879245,0.09403175698700389,0.5904913968325971,-0.2581370030100212,0.21509873781142372,0.5559651120056419,0.5,0.5000000000000001,0.0,0.09153167563912512,0.04466835302611183,ROBUST,ROBUST,,,,
