Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2012-06-11,2384.83,2384.83,2384.83,2384.83
2012-06-12,2402.64,2402.64,2402.64,2402.64
2012-06-13,2396.48,2396.48,2396.48,2396.48
2012-06-14,2387.06,2387.06,2387.06,2387.06
2012-06-15,2384.71,2384.71,2384.71,2384.71
2012-06-18,2393.17,2393.17,2393.17,2393.17
2012-06-19,2442.69,2442.69,2442.69,2442.69
2012-06-20,2443.0,2443.0,2443.0,2443.0
2012-06-21,2410.33,2410.33,2410.33,2410.33
2012-06-22,2422.7,2422.7,2422.7,2422.7
2012-06-25,2418.43,2418.43,2418.43,2418.43
2012-06-26,2432.31,2432.31,2432.31,2432.31
2012-06-27,2445.78,2445.78,2445.78,2445.78
2012-06-28,2405.84,2405.84,2405.84,2405.84
2012-06-29,2458.25,2458.25,2458.25,2458.25
2012-07-02,2465.12,2465.12,2465.12,2465.12
2012-07-03,2460.69,2460.69,2460.69,2460.69
2012-07-04,2441.46,2441.46,2441.46,2441.46
2012-07-05,2455.87,2455.87,2455.87,2455.87
2012-07-06,2444.58,2444.58,2444.58,2444.58
2012-07-09,2443.99,2443.99,2443.99,2443.99
2012-07-10,2423.77,2423.77,2423.77,2423.77
2012-07-11,2411.22,2411.22,2411.22,2411.22
2012-07-12,2392.09,2392.09,2392.09,2392.09
2012-07-13,2401.36,2401.36,2401.36,2401.36
2012-07-16,2408.33,2408.33,2408.33,2408.33
2012-07-17,2445.07,2445.07,2445.07,2445.07
2012-07-18,2452.16,2452.16,2452.16,2452.16
2012-07-19,2447.47,2447.47,2447.47,2447.47
2012-07-20,2438.23,2438.23,2438.23,2438.23
2012-07-23,2388.72,2388.72,2388.72,2388.72
2012-07-24,2399.29,2399.29,2399.29,2399.29
2012-07-25,2395.55,2395.55,2395.55,2395.55
2012-07-26,2399.42,2399.42,2399.42,2399.42
2012-07-27,2429.37,2429.37,2429.37,2429.37
2012-07-30,2411.01,2411.01,2411.01,2411.01
2012-07-31,2400.83,2400.83,2400.83,2400.83
2012-08-01,2390.93,2390.93,2390.93,2390.93
2012-08-02,2380.05,2380.05,2380.05,2380.05
2012-08-03,2389.85,2389.85,2389.85,2389.85
2012-08-06,2406.78,2406.78,2406.78,2406.78
2012-08-07,2407.3,2407.3,2407.3,2407.3
2012-08-08,2408.43,2408.43,2408.43,2408.43
2012-08-09,2430.95,2430.95,2430.95,2430.95
2012-08-10,2427.5,2427.5,2427.5,2427.5
2012-08-13,2438.45,2438.45,2438.45,2438.45
2012-08-14,2445.29,2445.29,2445.29,2445.29
2012-08-16,2463.42,2463.42,2463.42,2463.42
2012-08-17,2438.12,2438.12,2438.12,2438.12
2012-08-20,2434.51,2434.51,2434.51,2434.51
2012-08-21,2464.85,2464.85,2464.85,2464.85
2012-08-22,2471.86,2471.86,2471.86,2471.86
2012-08-23,2461.94,2461.94,2461.94,2461.94
2012-08-24,2450.51,2450.51,2450.51,2450.51
2012-08-27,2442.64,2442.64,2442.64,2442.64
2012-08-28,2426.91,2426.91,2426.91,2426.91
2012-08-29,2389.79,2389.79,2389.79,2389.79
2012-08-30,2378.17,2378.17,2378.17,2378.17
2012-08-31,2391.73,2391.73,2391.73,2391.73
2012-09-03,2409.46,2409.46,2409.46,2409.46
2012-09-04,2400.59,2400.59,2400.59,2400.59
2012-09-05,2403.38,2403.38,2403.38,2403.38
2012-09-06,2411.23,2411.23,2411.23,2411.23
2012-09-07,2437.87,2437.87,2437.87,2437.87
2012-09-10,2444.68,2444.68,2444.68,2444.68
2012-09-11,2453.37,2453.37,2453.37,2453.37
2012-09-12,2464.92,2464.92,2464.92,2464.92
2012-09-13,2460.03,2460.03,2460.03,2460.03
2012-09-14,2508.8,2508.8,2508.8,2508.8
2012-09-17,2501.28,2501.28,2501.28,2501.28
2012-09-18,2504.77,2504.77,2504.77,2504.77
2012-09-19,2511.58,2511.58,2511.58,2511.58
2012-09-20,2495.4,2495.4,2495.4,2495.4
2012-09-21,2505.04,2505.04,2505.04,2505.04
2012-09-24,2503.32,2503.32,2503.32,2503.32
2012-09-25,2528.69,2528.69,2528.69,2528.69
2012-09-26,2526.03,2526.03,2526.03,2526.03
2012-09-27,2533.33,2533.33,2533.33,2533.33
2012-09-28,2541.25,2541.25,2541.25,2541.25
2012-10-01,2562.23,2562.23,2562.23,2562.23
2012-10-02,2570.64,2570.64,2570.64,2570.64
2012-10-03,2570.1,2570.1,2570.1,2570.1
2012-10-04,2563.64,2563.64,2563.64,2563.64
2012-10-05,2598.48,2598.48,2598.48,2598.48
2012-10-08,2594.37,2594.37,2594.37,2594.37
2012-10-09,2594.79,2594.79,2594.79,2594.79
2012-10-10,2594.73,2594.73,2594.73,2594.73
2012-10-11,2585.95,2585.95,2585.95,2585.95
2012-10-12,2581.5,2581.5,2581.5,2581.5
2012-10-15,2596.69,2596.69,2596.69,2596.69
2012-10-16,2628.07,2628.07,2628.07,2628.07
2012-10-17,2630.72,2630.72,2630.72,2630.72
2012-10-18,2664.2,2664.2,2664.2,2664.2
2012-10-19,2615.4,2615.4,2615.4,2615.4
2012-10-22,2609.73,2609.73,2609.73,2609.73
2012-10-23,2599.89,2599.89,2599.89,2599.89
2012-10-24,2604.82,2604.82,2604.82,2604.82
2012-10-25,2598.32,2598.32,2598.32,2598.32
2012-10-26,2598.26,2598.26,2598.26,2598.26
2012-10-29,2590.61,2590.61,2590.61,2590.61
2012-10-30,2582.39,2582.39,2582.39,2582.39
