Date,TBSP_synth
1999-01-04,422.23910425392916
1999-01-05,422.42996542077066
1999-01-06,424.3052361831339
1999-01-07,431.23500636153074
1999-01-08,430.92525560112074
1999-01-11,431.24485330682734
1999-01-12,430.7959228844075
1999-01-13,430.4193719069214
1999-01-14,426.58248554090517
1999-01-15,427.99052662534984
1999-01-18,428.4384185747735
1999-01-19,431.31586792976213
1999-01-20,431.58912821320297
1999-01-21,432.1922080593175
1999-01-22,434.210378181714
1999-01-25,432.8740846434004
1999-01-26,433.13084845463476
1999-01-27,434.4477328832908
1999-01-28,434.40018853480825
1999-01-29,433.97366616853
1999-02-01,433.3648731161141
1999-02-02,431.6040204303947
1999-02-03,430.224467719542
1999-02-04,430.25196289417585
1999-02-05,432.82417460302105
1999-02-08,434.01257833304345
1999-02-09,432.7350623654441
1999-02-10,429.54639706212004
1999-02-11,431.6527866673403
1999-02-12,432.75277138944176
1999-02-15,431.76717969321555
1999-02-16,430.74236229065576
1999-02-17,430.5746389152986
1999-02-18,430.6920307701542
1999-02-19,431.1217821370476
1999-02-22,432.4308336405576
1999-02-23,433.2199543400612
1999-02-24,433.43950040988443
1999-02-25,433.4323379426323
1999-02-26,432.6890120039961
1999-03-01,432.59115460390376
1999-03-02,432.53614209738447
1999-03-03,432.6598370557132
1999-03-04,431.35102828144323
1999-03-05,428.0039483452599
1999-03-08,429.20836838228365
1999-03-09,430.0730593933629
1999-03-10,429.6699299814421
1999-03-11,430.78282224409475
1999-03-12,429.8394368807179
1999-03-15,429.8004022699777
1999-03-16,430.9200476811474
1999-03-17,429.5390500451059
1999-03-18,430.80308453676025
1999-03-19,431.4888792547494
1999-03-22,431.4980054725872
1999-03-23,431.88473088769314
1999-03-24,435.7263008980159
1999-03-25,432.85228103253496
1999-03-26,435.5285325131808
1999-03-29,436.61528471340745
1999-03-30,434.8761178102771
1999-03-31,435.5370530104301
1999-04-01,435.2047609162275
1999-04-02,434.69113843657755
1999-04-05,435.3591541811462
1999-04-06,435.55207591390536
1999-04-07,435.41337404744326
1999-04-08,437.4569570301116
1999-04-09,436.1456556806177
1999-04-12,438.28040667693807
1999-04-13,437.75628318937993
1999-04-14,438.18736161505836
1999-04-15,438.0788880175348
1999-04-16,439.2664329194689
1999-04-19,438.77271329457255
1999-04-20,438.45303658460074
1999-04-21,437.90657727084505
1999-04-22,438.23091108921017
1999-04-23,438.02438337261134
1999-04-26,438.378108057195
1999-04-27,438.19999169790907
1999-04-28,438.59807657239844
1999-04-29,438.14274833428897
1999-04-30,437.38929028804466
1999-05-03,438.3047032951241
1999-05-04,438.49998944704043
1999-05-05,439.16139541959217
1999-05-06,438.93909825747534
1999-05-07,439.0771920467221
1999-05-10,439.4681473432724
1999-05-11,439.5024079038775
1999-05-12,439.6819146697394
1999-05-13,439.4045627758462
1999-05-14,439.41184656223305
1999-05-17,439.7116225840308
1999-05-18,438.33052387803355
1999-05-19,439.48872081744474
1999-05-20,448.45960190210747
1999-05-21,445.56848010791407
1999-05-24,445.23989778890666
1999-05-25,445.02263744372476
1999-05-26,444.8122557266144
1999-05-27,444.5215037746591
1999-05-28,445.2299059111093
1999-05-31,443.99780958817723
1999-06-01,444.5052095762205
1999-06-02,444.93655767072636
1999-06-03,444.67929630154094
1999-06-04,444.87577243646444
1999-06-07,445.07233538197687
1999-06-08,446.5184908672161
1999-06-09,446.50978849145577
1999-06-10,446.4848024839503
1999-06-11,449.426689714246
1999-06-14,449.22692378812593
1999-06-15,451.54814176692867
1999-06-16,450.7105039229165
1999-06-17,450.9569592975531
1999-06-18,450.4012318359872
1999-06-21,450.366549414243
1999-06-22,451.519129504151
1999-06-23,451.7794524338781
1999-06-24,451.2411126701388
1999-06-25,451.0179151605669
1999-06-28,450.35058930673466
1999-06-29,450.45512154664493
1999-06-30,450.07680479533036
1999-07-01,451.06267212245285
1999-07-02,451.58793358172124
1999-07-05,452.2237959236815
1999-07-06,452.5707501396538
1999-07-07,451.94096492471573
1999-07-08,451.82395864019173
1999-07-09,451.78568360085956
1999-07-12,451.5933726066853
1999-07-13,450.69414505253053
1999-07-14,451.64870057783696
1999-07-15,451.2382623730472
1999-07-16,452.21032178254626
1999-07-19,450.7334594700397
1999-07-20,451.18202677627795
1999-07-21,451.5810524667254
1999-07-22,451.46813405452923
1999-07-23,450.3257043092454
1999-07-26,451.11724401339194
1999-07-27,450.9507235748589
1999-07-28,450.85300305622326
1999-07-29,451.1046307067875
1999-07-30,451.86759257468145
1999-08-02,451.3633926151081
1999-08-03,449.7069800094108
1999-08-04,446.8944634580504
1999-08-05,447.25021621941653
1999-08-06,449.3341389006685
1999-08-09,450.618134176186
1999-08-10,448.67176294073437
1999-08-11,449.2337400743469
1999-08-12,450.34588204705454
1999-08-13,452.1561582663565
1999-08-16,451.91334449868333
1999-08-17,452.4208315604229
1999-08-18,451.5132861412103
1999-08-19,451.51498707694105
1999-08-20,451.1677136483614
1999-08-23,451.3049128648091
1999-08-24,451.474477819976
1999-08-25,451.7490896691839
1999-08-26,451.5369843257682
1999-08-27,454.90796922749496
1999-08-30,453.99567165909446
1999-08-31,453.4278350003172
1999-09-01,453.7601259344785
1999-09-02,453.95587289350965
1999-09-03,453.3212867122255
1999-09-06,453.0557555494306
1999-09-07,453.75321621534266
1999-09-08,454.14542439339
1999-09-09,453.42052796581993
1999-09-10,453.98754050428727
1999-09-13,454.579724931943
1999-09-14,454.5088966335521
1999-09-15,453.8854074330376
1999-09-16,452.174158420276
1999-09-17,452.34046193888975
1999-09-20,451.76665784093467
1999-09-21,451.63537907615057
1999-09-22,450.98527125256885
1999-09-23,451.2202078420674
1999-09-24,451.56488243361514
1999-09-27,450.9316598532222
1999-09-28,451.8020100316986
1999-09-29,451.41129925745463
1999-09-30,449.840899581309
1999-10-01,446.34944998665935
1999-10-04,446.8560024972538
1999-10-05,447.1773591952424
1999-10-06,448.0074627962036
1999-10-07,448.2027789167208
1999-10-08,448.2722737596138
1999-10-11,447.7160508139132
1999-10-12,447.47776439598215
1999-10-13,448.0425291978233
1999-10-14,447.5598881342847
1999-10-15,448.18761633046483
1999-10-18,447.74258329706174
1999-10-19,445.2675980116343
1999-10-20,444.31342957048724
1999-10-21,444.80285487855474
1999-10-22,444.34606050708163
1999-10-25,445.8832650082112
1999-10-26,445.5351606502402
1999-10-27,445.29302959332006
1999-10-28,445.6204890624094
1999-10-29,444.791376257024
1999-11-01,445.3268235554534
1999-11-02,445.56578506017314
1999-11-03,443.92587040045487
1999-11-04,444.4863390446249
1999-11-05,442.55893297638045
1999-11-08,441.484129788283
1999-11-09,444.60185175139867
1999-11-10,444.7286711511802
1999-11-11,443.62693444678285
1999-11-12,443.873521604391
1999-11-15,444.5383333703705
1999-11-16,443.2687105459522
1999-11-17,446.4377486608535
1999-11-18,447.39542001082265
1999-11-19,449.0082054762214
1999-11-22,451.4694028339018
1999-11-23,456.81690863277703
1999-11-24,456.274155509338
1999-11-25,456.2631794867591
1999-11-26,457.5087329545356
1999-11-29,457.76081941124073
1999-11-30,455.35326484075927
1999-12-01,458.2993350771507
1999-12-02,458.0502004969487
1999-12-03,456.57224013668025
1999-12-06,458.3450028930085
1999-12-07,458.57591851401787
1999-12-08,457.15566061028403
1999-12-09,457.39574697766335
1999-12-10,458.19113537279026
1999-12-13,459.49110702165757
1999-12-14,459.37087001887403
1999-12-15,461.4171231043704
1999-12-16,461.1462904460552
1999-12-17,461.90112241788825
1999-12-20,463.38401195540337
1999-12-21,464.1596788150551
1999-12-22,464.58542894827957
1999-12-23,463.8937548598131
1999-12-24,464.86417205250774
1999-12-27,465.58075548991354
1999-12-28,465.6361893692029
1999-12-29,465.5543358262809
1999-12-30,466.0993267844385
1999-12-31,468.33102793363537
2000-01-03,468.55551599340714
2000-01-04,468.33488931440576
2000-01-05,468.30216786012676
2000-01-06,464.8903862511062
2000-01-07,463.49470296637116
2000-01-10,466.96984986758486
2000-01-11,468.01508794340623
2000-01-12,466.93967853288683
2000-01-13,469.3185662059312
2000-01-14,467.1940900709172
2000-01-17,467.05627163904137
2000-01-18,466.665971860867
2000-01-19,466.9722458754546
2000-01-20,463.580367264475
2000-01-21,464.0218551998812
2000-01-24,464.35197260234577
2000-01-25,464.15340741126863
2000-01-26,462.72626931413936
2000-01-27,462.59921392408654
2000-01-28,462.85798303669003
2000-01-31,462.3846441093817
2000-02-01,462.01515742083956
2000-02-02,460.9530341505956
2000-02-03,459.97589393165504
2000-02-04,460.57414105723586
2000-02-07,460.6868533758083
2000-02-08,460.03864362204683
2000-02-09,459.33257980514946
2000-02-10,459.7472803389342
2000-02-11,458.55845496889475
2000-02-14,458.66012730927474
2000-02-15,458.6983118423739
2000-02-16,459.94728567385107
2000-02-17,462.1593830231216
2000-02-18,464.28376096222
2000-02-21,464.5209428350727
2000-02-22,464.99535242024103
2000-02-23,463.23097260100013
2000-02-24,462.69493084472947
2000-02-25,463.10806575688895
2000-02-28,462.3280377923117
2000-02-29,460.1712655646584
2000-03-01,459.2680739407833
2000-03-02,459.5329714955965
2000-03-03,460.8715220479351
2000-03-06,461.1890232236331
2000-03-07,461.22068621177266
2000-03-08,461.08664491035523
2000-03-09,461.74250916375905
2000-03-10,462.63989236384026
2000-03-13,463.76559430364836
2000-03-14,464.1163449627697
2000-03-15,464.8023104206686
2000-03-16,465.90394008342497
2000-03-17,468.9191963581211
2000-03-20,469.27232166541575
2000-03-21,469.75398073707754
2000-03-22,470.43545311219293
2000-03-23,471.9560148981109
2000-03-24,471.775735861435
2000-03-27,471.9726262702948
2000-03-28,471.8609771741803
2000-03-29,471.1572315345186
2000-03-30,471.13644053448064
2000-03-31,469.6597540583565
2000-04-03,469.6789808232507
2000-04-04,469.7833236142524
2000-04-05,468.4825288387648
2000-04-06,468.85636262661643
2000-04-07,470.3483946079436
2000-04-10,471.1800100394638
2000-04-11,471.46774961588005
2000-04-12,471.5444826407469
2000-04-13,474.8708955988105
2000-04-14,474.32642408458383
2000-04-17,473.83295605266505
2000-04-18,474.21945960577887
2000-04-19,471.3110800618012
2000-04-20,471.5188837611604
2000-04-21,469.43418759056334
2000-04-24,471.11393357034746
2000-04-25,471.37882824486246
2000-04-26,467.8045481856849
2000-04-27,468.59773021256945
2000-04-28,470.2591912325719
2000-05-01,468.0035594858783
2000-05-02,468.27431877870384
2000-05-03,466.74583935934095
2000-05-04,467.0193150660638
2000-05-05,465.98059712727473
2000-05-08,464.4104818555655
2000-05-09,464.9584817649512
2000-05-10,466.5704984151833
2000-05-11,468.2209918326619
2000-05-12,467.688889229139
2000-05-15,467.7462111398051
2000-05-16,464.8705384316857
2000-05-17,468.76039946079334
2000-05-18,468.6928405497849
2000-05-19,464.5184433960771
2000-05-22,463.0441932225282
2000-05-23,462.7086945828309
