Date,Action,Mode,signal_WIG20TR,weight_WIG20TR,signal_PL_MID,weight_PL_MID,signal_MSCI_World,weight_MSCI_World,signal_TBSP,weight_TBSP,weight_mmf,portfolio_cagr,portfolio_sharpe,portfolio_maxdd
2026-03-18,HOLD,msci_world,IN,0.0,OUT,0.0,IN,0.4,IN,0.0,0.6,0.0317303521728709,1.0235592520892518,-0.057286126298962015
2026-03-18,HOLD,global_equity,IN,0.2,IN,0.3,IN,0.0,OUT,0.0,IN,0.5,0.0,0.046579027781069815,1.3292740507269563,-0.04481548549900527
2026-03-18,HOLD,global_equity,IN,0.2,IN,0.3,IN,0.0,OUT,0.0,IN,0.5,0.0,0.04646641892008052,1.325289204338367,-0.04481548549900527
2026-03-19,HOLD,global_equity,IN,0.3,IN,0.4,IN,0.0,OUT,0.0,IN,0.3,0.0,0.08217141952123042,1.036493214527005,-0.15814772686478273
2026-03-19,HOLD,global_equity,IN,0.3,IN,0.4,IN,0.0,OUT,0.0,IN,0.3,0.0,0.08240198757584793,1.0396927834954368,-0.15814772686478273
2026-03-20,HOLD,global_equity,IN,0.3,IN,0.4,IN,0.0,OUT,0.0,IN,0.3,0.0,0.08130805109240691,1.0252155336612179,-0.15814772686478273
2026-03-20,HOLD,global_equity,IN,0.3,IN,0.4,IN,0.0,OUT,0.0,IN,0.3,0.0,0.081062831337255,1.0216991396461776,-0.15814772686478273
2026-03-23,HOLD,global_equity,IN,0.3,IN,0.4,OUT,0.0,OUT,0.0,IN,0.3,0.0,0.08224057549002284,1.03635625880427,-0.15814772686478273
2026-03-23,HOLD,global_equity,IN,0.3,IN,0.4,OUT,0.0,OUT,0.0,IN,0.3,0.0,0.08212566356811712,1.0350687442765925,-0.15814772686478273
2026-03-24,HOLD,global_equity,IN,0.3,IN,0.4,OUT,0.0,OUT,0.0,IN,0.3,0.0,0.08154007885949488,1.0278452333400243,-0.15814772686478273
2026-03-25,HOLD,global_equity,IN,0.3,IN,0.4,OUT,0.0,OUT,0.0,IN,0.3,0.0,0.0823463957903885,1.0374490610326585,-0.15814772686478273
2026-03-25,HOLD,global_equity,IN,0.3,IN,0.4,OUT,0.0,OUT,0.0,IN,0.3,0.0,0.08228156395973518,1.0367203120318513,-0.15814772686478273
2026-03-26,HOLD,global_equity,IN,0.3,IN,0.4,OUT,0.0,OUT,0.0,IN,0.3,0.0,0.0816481578524153,1.0285837728285847,-0.15814772686478273
2026-03-26,HOLD,global_equity,IN,0.3,IN,0.4,OUT,0.0,OUT,0.0,IN,0.3,0.0,0.08151221714241386,1.0267269607921157,-0.15814772686478273
2026-03-27,HOLD,global_equity,IN,0.3,IN,0.4,OUT,0.0,OUT,0.0,IN,0.3,0.0,0.08050828872797999,1.0135412862626294,-0.15814772686478273
2026-03-27,HOLD,global_equity,IN,0.3,IN,0.4,OUT,0.0,OUT,0.0,IN,0.3,0.0,0.08038612331667538,1.0118170962674633,-0.15814772686478273
2026-03-28,HOLD,msci_world,IN,0.8,OUT,0.0,IN,0.2,0.0,0.0731104948167165,0.7846574684627264,-0.12131664108744833
