Data,Zamkniecie,Najwyzszy,Najnizszy
1999-01-04,422.2391042539292,422.2391042539292,422.2391042539292
1999-01-05,422.42996542077066,422.42996542077066,422.42996542077066
1999-01-06,424.3052361831339,424.3052361831339,424.3052361831339
1999-01-07,431.23500636153074,431.23500636153074,431.23500636153074
1999-01-08,430.9252556011208,430.9252556011208,430.9252556011208
1999-01-11,431.24485330682734,431.24485330682734,431.24485330682734
1999-01-12,430.7959228844075,430.7959228844075,430.7959228844075
1999-01-13,430.4193719069214,430.4193719069214,430.4193719069214
1999-01-14,426.5824855409052,426.5824855409052,426.5824855409052
1999-01-15,427.9905266253498,427.9905266253498,427.9905266253498
1999-01-18,428.4384185747735,428.4384185747735,428.4384185747735
1999-01-19,431.3158679297621,431.3158679297621,431.3158679297621
1999-01-20,431.58912821320297,431.58912821320297,431.58912821320297
1999-01-21,432.1922080593175,432.1922080593175,432.1922080593175
1999-01-22,434.210378181714,434.210378181714,434.210378181714
1999-01-25,432.8740846434004,432.8740846434004,432.8740846434004
1999-01-26,433.1308484546348,433.1308484546348,433.1308484546348
1999-01-27,434.4477328832908,434.4477328832908,434.4477328832908
1999-01-28,434.40018853480825,434.40018853480825,434.40018853480825
1999-01-29,433.97366616853,433.97366616853,433.97366616853
1999-02-01,433.3648731161141,433.3648731161141,433.3648731161141
1999-02-02,431.6040204303947,431.6040204303947,431.6040204303947
1999-02-03,430.224467719542,430.224467719542,430.224467719542
1999-02-04,430.2519628941759,430.2519628941759,430.2519628941759
1999-02-05,432.82417460302105,432.82417460302105,432.82417460302105
1999-02-08,434.01257833304345,434.01257833304345,434.01257833304345
1999-02-09,432.7350623654441,432.7350623654441,432.7350623654441
1999-02-10,429.54639706212,429.54639706212,429.54639706212
1999-02-11,431.6527866673403,431.6527866673403,431.6527866673403
1999-02-12,432.75277138944176,432.75277138944176,432.75277138944176
1999-02-15,431.7671796932156,431.7671796932156,431.7671796932156
1999-02-16,430.74236229065576,430.74236229065576,430.74236229065576
1999-02-17,430.5746389152986,430.5746389152986,430.5746389152986
1999-02-18,430.6920307701542,430.6920307701542,430.6920307701542
1999-02-19,431.1217821370476,431.1217821370476,431.1217821370476
1999-02-22,432.4308336405576,432.4308336405576,432.4308336405576
1999-02-23,433.2199543400612,433.2199543400612,433.2199543400612
1999-02-24,433.4395004098844,433.4395004098844,433.4395004098844
1999-02-25,433.4323379426323,433.4323379426323,433.4323379426323
1999-02-26,432.6890120039961,432.6890120039961,432.6890120039961
1999-03-01,432.59115460390376,432.59115460390376,432.59115460390376
1999-03-02,432.53614209738447,432.53614209738447,432.53614209738447
1999-03-03,432.6598370557132,432.6598370557132,432.6598370557132
1999-03-04,431.3510282814432,431.3510282814432,431.3510282814432
1999-03-05,428.0039483452599,428.0039483452599,428.0039483452599
1999-03-08,429.20836838228365,429.20836838228365,429.20836838228365
1999-03-09,430.0730593933629,430.0730593933629,430.0730593933629
1999-03-10,429.6699299814421,429.6699299814421,429.6699299814421
1999-03-11,430.7828222440948,430.7828222440948,430.7828222440948
1999-03-12,429.8394368807179,429.8394368807179,429.8394368807179
1999-03-15,429.8004022699777,429.8004022699777,429.8004022699777
1999-03-16,430.9200476811474,430.9200476811474,430.9200476811474
1999-03-17,429.5390500451059,429.5390500451059,429.5390500451059
1999-03-18,430.80308453676025,430.80308453676025,430.80308453676025
1999-03-19,431.4888792547494,431.4888792547494,431.4888792547494
1999-03-22,431.4980054725872,431.4980054725872,431.4980054725872
1999-03-23,431.88473088769314,431.88473088769314,431.88473088769314
1999-03-24,435.7263008980159,435.7263008980159,435.7263008980159
1999-03-25,432.85228103253496,432.85228103253496,432.85228103253496
1999-03-26,435.5285325131808,435.5285325131808,435.5285325131808
1999-03-29,436.61528471340745,436.61528471340745,436.61528471340745
1999-03-30,434.8761178102771,434.8761178102771,434.8761178102771
1999-03-31,435.5370530104301,435.5370530104301,435.5370530104301
1999-04-01,435.2047609162275,435.2047609162275,435.2047609162275
1999-04-02,434.6911384365776,434.6911384365776,434.6911384365776
1999-04-05,435.3591541811462,435.3591541811462,435.3591541811462
1999-04-06,435.55207591390536,435.55207591390536,435.55207591390536
1999-04-07,435.41337404744326,435.41337404744326,435.41337404744326
1999-04-08,437.4569570301116,437.4569570301116,437.4569570301116
1999-04-09,436.1456556806177,436.1456556806177,436.1456556806177
1999-04-12,438.28040667693807,438.28040667693807,438.28040667693807
1999-04-13,437.75628318937993,437.75628318937993,437.75628318937993
1999-04-14,438.1873616150584,438.1873616150584,438.1873616150584
1999-04-15,438.0788880175348,438.0788880175348,438.0788880175348
1999-04-16,439.2664329194689,439.2664329194689,439.2664329194689
1999-04-19,438.77271329457255,438.77271329457255,438.77271329457255
1999-04-20,438.4530365846008,438.4530365846008,438.4530365846008
1999-04-21,437.90657727084505,437.90657727084505,437.90657727084505
1999-04-22,438.23091108921017,438.23091108921017,438.23091108921017
1999-04-23,438.02438337261134,438.02438337261134,438.02438337261134
1999-04-26,438.378108057195,438.378108057195,438.378108057195
1999-04-27,438.199991697909,438.199991697909,438.199991697909
1999-04-28,438.5980765723984,438.5980765723984,438.5980765723984
1999-04-29,438.14274833428897,438.14274833428897,438.14274833428897
1999-04-30,437.3892902880447,437.3892902880447,437.3892902880447
1999-05-03,438.3047032951241,438.3047032951241,438.3047032951241
1999-05-04,438.4999894470404,438.4999894470404,438.4999894470404
1999-05-05,439.16139541959217,439.16139541959217,439.16139541959217
1999-05-06,438.93909825747534,438.93909825747534,438.93909825747534
1999-05-07,439.0771920467221,439.0771920467221,439.0771920467221
1999-05-10,439.4681473432724,439.4681473432724,439.4681473432724
1999-05-11,439.5024079038775,439.5024079038775,439.5024079038775
1999-05-12,439.6819146697394,439.6819146697394,439.6819146697394
1999-05-13,439.4045627758462,439.4045627758462,439.4045627758462
1999-05-14,439.41184656223305,439.41184656223305,439.41184656223305
1999-05-17,439.7116225840308,439.7116225840308,439.7116225840308
1999-05-18,438.3305238780336,438.3305238780336,438.3305238780336
1999-05-19,439.4887208174448,439.4887208174448,439.4887208174448
1999-05-20,448.45960190210747,448.45960190210747,448.45960190210747
1999-05-21,445.56848010791407,445.56848010791407,445.56848010791407
1999-05-24,445.23989778890666,445.23989778890666,445.23989778890666
1999-05-25,445.0226374437248,445.0226374437248,445.0226374437248
1999-05-26,444.8122557266144,444.8122557266144,444.8122557266144
1999-05-27,444.5215037746591,444.5215037746591,444.5215037746591
1999-05-28,445.2299059111093,445.2299059111093,445.2299059111093
1999-05-31,443.9978095881772,443.9978095881772,443.9978095881772
1999-06-01,444.5052095762205,444.5052095762205,444.5052095762205
1999-06-02,444.9365576707264,444.9365576707264,444.9365576707264
1999-06-03,444.67929630154094,444.67929630154094,444.67929630154094
1999-06-04,444.8757724364645,444.8757724364645,444.8757724364645
1999-06-07,445.07233538197687,445.07233538197687,445.07233538197687
1999-06-08,446.5184908672161,446.5184908672161,446.5184908672161
1999-06-09,446.50978849145577,446.50978849145577,446.50978849145577
1999-06-10,446.4848024839503,446.4848024839503,446.4848024839503
1999-06-11,449.426689714246,449.426689714246,449.426689714246
1999-06-14,449.22692378812593,449.22692378812593,449.22692378812593
1999-06-15,451.5481417669287,451.5481417669287,451.5481417669287
1999-06-16,450.7105039229165,450.7105039229165,450.7105039229165
1999-06-17,450.9569592975531,450.9569592975531,450.9569592975531
1999-06-18,450.4012318359872,450.4012318359872,450.4012318359872
1999-06-21,450.366549414243,450.366549414243,450.366549414243
1999-06-22,451.519129504151,451.519129504151,451.519129504151
1999-06-23,451.7794524338781,451.7794524338781,451.7794524338781
1999-06-24,451.2411126701388,451.2411126701388,451.2411126701388
1999-06-25,451.0179151605669,451.0179151605669,451.0179151605669
1999-06-28,450.35058930673466,450.35058930673466,450.35058930673466
1999-06-29,450.4551215466449,450.4551215466449,450.4551215466449
1999-06-30,450.0768047953304,450.0768047953304,450.0768047953304
1999-07-01,451.06267212245285,451.06267212245285,451.06267212245285
1999-07-02,451.5879335817213,451.5879335817213,451.5879335817213
1999-07-05,452.2237959236815,452.2237959236815,452.2237959236815
1999-07-06,452.5707501396538,452.5707501396538,452.5707501396538
1999-07-07,451.9409649247157,451.9409649247157,451.9409649247157
1999-07-08,451.8239586401917,451.8239586401917,451.8239586401917
1999-07-09,451.7856836008596,451.7856836008596,451.7856836008596
1999-07-12,451.5933726066853,451.5933726066853,451.5933726066853
1999-07-13,450.6941450525305,450.6941450525305,450.6941450525305
1999-07-14,451.64870057783696,451.64870057783696,451.64870057783696
1999-07-15,451.2382623730472,451.2382623730472,451.2382623730472
1999-07-16,452.2103217825463,452.2103217825463,452.2103217825463
1999-07-19,450.7334594700397,450.7334594700397,450.7334594700397
1999-07-20,451.182026776278,451.182026776278,451.182026776278
1999-07-21,451.5810524667254,451.5810524667254,451.5810524667254
1999-07-22,451.4681340545292,451.4681340545292,451.4681340545292
1999-07-23,450.3257043092454,450.3257043092454,450.3257043092454
1999-07-26,451.117244013392,451.117244013392,451.117244013392
1999-07-27,450.9507235748589,450.9507235748589,450.9507235748589
1999-07-28,450.85300305622326,450.85300305622326,450.85300305622326
1999-07-29,451.1046307067875,451.1046307067875,451.1046307067875
1999-07-30,451.8675925746815,451.8675925746815,451.8675925746815
1999-08-02,451.3633926151081,451.3633926151081,451.3633926151081
1999-08-03,449.7069800094108,449.7069800094108,449.7069800094108
1999-08-04,446.8944634580504,446.8944634580504,446.8944634580504
1999-08-05,447.2502162194165,447.2502162194165,447.2502162194165
1999-08-06,449.3341389006685,449.3341389006685,449.3341389006685
1999-08-09,450.618134176186,450.618134176186,450.618134176186
1999-08-10,448.6717629407344,448.6717629407344,448.6717629407344
1999-08-11,449.2337400743469,449.2337400743469,449.2337400743469
1999-08-12,450.34588204705454,450.34588204705454,450.34588204705454
1999-08-13,452.1561582663565,452.1561582663565,452.1561582663565
1999-08-16,451.9133444986833,451.9133444986833,451.9133444986833
1999-08-17,452.4208315604229,452.4208315604229,452.4208315604229
1999-08-18,451.5132861412103,451.5132861412103,451.5132861412103
1999-08-19,451.51498707694105,451.51498707694105,451.51498707694105
1999-08-20,451.1677136483614,451.1677136483614,451.1677136483614
1999-08-23,451.3049128648091,451.3049128648091,451.3049128648091
1999-08-24,451.474477819976,451.474477819976,451.474477819976
1999-08-25,451.7490896691839,451.7490896691839,451.7490896691839
1999-08-26,451.5369843257682,451.5369843257682,451.5369843257682
1999-08-27,454.90796922749496,454.90796922749496,454.90796922749496
1999-08-30,453.99567165909446,453.99567165909446,453.99567165909446
1999-08-31,453.4278350003172,453.4278350003172,453.4278350003172
1999-09-01,453.7601259344785,453.7601259344785,453.7601259344785
1999-09-02,453.9558728935097,453.9558728935097,453.9558728935097
1999-09-03,453.3212867122255,453.3212867122255,453.3212867122255
1999-09-06,453.0557555494306,453.0557555494306,453.0557555494306
1999-09-07,453.75321621534266,453.75321621534266,453.75321621534266
1999-09-08,454.14542439339,454.14542439339,454.14542439339
