Date,TBSP,TBSP_synth
2006-12-29,1000.0,1000.0
2007-01-02,1002.19,1001.574442771408
2007-01-03,1004.75,1003.2110929054282
2007-01-04,1002.75,1002.7511763880476
2007-01-05,1002.1,1002.2137361105313
2007-01-08,1002.39,1002.022911067819
2007-01-09,1002.22,1002.3237543827347
2007-01-10,1000.94,1001.0997924245381
2007-01-11,1002.93,1002.4405535041885
2007-01-12,1002.75,1002.6110643740258
2007-01-15,1004.98,1002.8679603981196
2007-01-16,1004.47,1004.2790488514112
2007-01-17,1004.7,1004.6286781500785
2007-01-18,1007.69,1004.4724871171859
2007-01-19,1007.76,1006.3660589425223
2007-01-22,1008.08,1006.7844280420137
2007-01-23,1006.33,1006.0758450157731
2007-01-24,1006.33,1005.7739690947137
2007-01-25,1006.54,1006.3382895064166
2007-01-26,1004.42,1004.2561263200039
2007-01-29,1003.69,1004.6798151694794
2007-01-30,1004.59,1004.937241263381
2007-01-31,1006.26,1006.1467402536581
2007-02-01,1006.32,1006.3741720269909
2007-02-02,1005.52,1006.1021696935096
2007-02-05,1006.74,1006.9590062519677
2007-02-06,1007.47,1007.8152689792369
2007-02-07,1007.38,1007.5565674031159
2007-02-08,1006.48,1007.3055288582957
2007-02-09,1006.46,1007.3449197586743
2007-02-12,1005.92,1006.994055500313
2007-02-13,1006.58,1007.4182042141571
2007-02-14,1007.59,1007.8643651529266
2007-02-15,1008.58,1008.3814911046248
2007-02-16,1008.0,1008.2249298513469
2007-02-19,1007.94,1008.460075596236
2007-02-20,1007.64,1008.0875230610621
2007-02-21,1006.57,1007.9036099656379
2007-02-22,1006.07,1007.2956415575085
2007-02-23,1005.31,1006.3338563121707
2007-02-26,1005.51,1006.8211989483245
2007-02-27,1005.32,1006.5781203921536
2007-02-28,1006.41,1007.3917476698886
2007-03-01,1007.56,1008.6698543676907
2007-03-02,1008.26,1008.6926097612485
2007-03-05,1008.2,1008.8810270339039
2007-03-06,1008.49,1008.9473607082133
2007-03-07,1008.58,1009.6214201888007
2007-03-08,1009.71,1010.1223236483153
2007-03-09,1010.04,1010.3320814177
2007-03-12,1009.95,1010.3892934224604
2007-03-13,1010.27,1010.8677847935909
2007-03-14,1009.88,1010.8164759126884
2007-03-15,1009.81,1010.6770545074579
2007-03-16,1009.66,1010.7862363134742
2007-03-19,1010.51,1011.5776442306128
2007-03-20,1010.78,1011.3661088504757
2007-03-21,1011.11,1011.8379131832941
2007-03-22,1012.14,1012.4620736992252
2007-03-23,1011.67,1012.4836913514242
2007-03-26,1011.17,1012.5266488727682
2007-03-27,1010.68,1012.2578240982061
2007-03-28,1010.65,1012.3961245956503
2007-03-29,1011.68,1012.5346624194697
2007-03-30,1011.55,1013.1320171788605
2007-04-02,1009.83,1012.172623898859
2007-04-03,1010.22,1012.3796463327539
2007-04-04,1011.03,1012.7601879433748
2007-04-05,1011.3,1012.9509819837931
2007-04-10,1010.73,1012.5396556795383
2007-04-11,1010.98,1012.9062563015236
2007-04-12,1010.65,1013.1712100492517
2007-04-13,1009.66,1012.7605812710714
2007-04-16,1009.55,1012.2054936589929
2007-04-17,1009.06,1012.1310978203614
2007-04-18,1009.46,1013.045818216228
2007-04-19,1009.85,1012.8176620124731
2007-04-20,1009.76,1012.7731157492282
2007-04-23,1010.56,1013.32508799782
2007-04-24,1010.99,1013.636013016951
2007-04-25,1011.06,1013.540252139581
2007-04-26,1011.31,1013.7575424095672
2007-04-27,1011.56,1014.0257809805903
2007-04-30,1012.25,1014.2940030140669
2007-05-02,1012.74,1014.7298050316201
2007-05-04,1013.78,1015.4783185904186
2007-05-07,1013.93,1015.7963122515246
2007-05-08,1014.42,1016.3254856030335
2007-05-09,1014.26,1016.2276725583268
2007-05-10,1012.96,1015.8818707684597
2007-05-11,1012.97,1015.7697588904016
2007-05-14,1013.12,1016.0686103859791
2007-05-15,1013.46,1016.2417952927811
2007-05-16,1013.83,1016.8693094471822
2007-05-17,1014.06,1016.8454093893162
2007-05-18,1015.15,1017.7640832291812
2007-05-21,1015.98,1017.9296596744678
2007-05-22,1016.39,1018.7453464934928
2007-05-23,1016.14,1018.4705176233773
2007-05-24,1014.74,1018.322370588324
2007-05-25,1014.62,1017.6930060296676
2007-05-28,1015.1,1017.9553550497527
2007-05-29,1014.88,1018.0573649349191
2007-05-30,1014.85,1018.2841306198891
2007-05-31,1015.92,1018.8911607927636
2007-06-01,1016.3,1019.233324386465
2007-06-04,1016.62,1019.6203565432996
2007-06-05,1015.84,1019.5530998242915
2007-06-06,1014.2,1018.1642253721546
2007-06-08,1010.59,1015.8905045269764
2007-06-11,1011.6,1017.1104454613996
2007-06-12,1010.96,1017.1165300062628
2007-06-13,1010.04,1016.0803503753515
2007-06-14,1010.08,1016.5271358407701
2007-06-15,1010.81,1016.6601901255772
2007-06-18,1010.71,1017.3180505178718
2007-06-19,1007.84,1016.676705260915
2007-06-20,1005.68,1015.4179109141205
2007-06-21,1005.83,1014.2226205767172
2007-06-22,1006.64,1014.8565208309334
2007-06-25,1007.56,1015.0895082038122
2007-06-26,1007.92,1015.8032161708768
2007-06-27,1006.37,1016.2543507640597
2007-06-28,1007.31,1015.2308935127877
2007-06-29,1007.31,1015.5732870700159
2007-07-02,1007.25,1015.6619724044808
2007-07-03,1006.69,1015.9394879568922
2007-07-04,1006.92,1015.167592969934
2007-07-05,1007.11,1016.0008229003798
2007-07-06,1006.64,1015.659534161099
2007-07-09,1006.59,1015.7503745507692
2007-07-10,1007.04,1015.7458740642651
2007-07-11,1007.7,1016.2879262761307
2007-07-12,1009.5,1017.5384514364047
2007-07-13,1010.75,1018.4846146151131
2007-07-16,1010.24,1018.9376432432999
2007-07-17,1011.49,1019.727244119421
2007-07-18,1011.0,1019.381095415389
2007-07-19,1011.31,1019.7620669831452
2007-07-20,1012.2,1020.0385906355051
2007-07-23,1013.1,1020.8061176896041
2007-07-24,1012.64,1021.0081700412918
2007-07-25,1013.17,1020.7788047900486
2007-07-26,1011.8,1020.5950337887343
2007-07-27,1011.64,1020.41107128931
2007-07-30,1011.61,1020.4777021379405
2007-07-31,1012.06,1020.9330704569818
2007-08-01,1011.75,1020.7205835125699
2007-08-02,1013.09,1020.9053161917144
2007-08-03,1013.84,1021.801632256522
2007-08-06,1013.96,1022.0880046955124
2007-08-07,1014.34,1022.4836184280932
2007-08-08,1013.92,1022.5720689018048
2007-08-09,1013.52,1022.3222520377809
2007-08-10,1013.83,1022.4120561024666
2007-08-13,1014.42,1022.3676464035336
2007-08-14,1011.5,1020.5969300921498
2007-08-16,1009.12,1018.613928200361
2007-08-17,1011.66,1019.8051589491502
2007-08-20,1009.86,1019.183580563804
2007-08-21,1009.01,1018.5281958709746
2007-08-22,1009.68,1019.3378649565776
2007-08-23,1009.91,1019.8534074747953
2007-08-24,1010.24,1019.7019727101091
2007-08-27,1010.96,1019.8445145303068
2007-08-28,1010.91,1020.3892873914434
2007-08-29,1010.24,1019.946148775657
2007-08-30,1010.37,1020.3740737187205
2007-08-31,1011.1,1020.7886618090054
2007-09-03,1011.34,1021.3568302313123
2007-09-04,1011.62,1021.7194298965721
2007-09-05,1011.98,1021.861768758963
2007-09-06,1012.61,1022.1505909529349
2007-09-07,1012.55,1022.4184697116226
